destport,protocol,tag
12,il,tag8
0,sprite-rpc,tag10
9,dcn-meas,tag6
0,scc-sp,tag6
12,pgm,tag10
17,nsh,tag9
7,fc,tag1
14,sctp,tag9
16,emcon,tag8
7,sctp,tag5
4,ipv6-route,tag8
11,sm (deprecated),tag4
0,iptm,tag4
0,xns-idp,tag7
12,br-sat-mon,tag8
8,igp,tag10
18,min-ipv4,tag10
10,smp,tag7
13,ax.25,tag8
7,merit-inp,tag9
1,br-sat-mon,tag7
15,ptp,tag4
16,tcf,tag4
16,hip,tag5
11,pim,tag2
18,scc-sp,tag9
5,iptm,tag6
5,fire,tag5
9,sprite-rpc,tag1
15,il,tag7
17,trunk-1,tag9
9,rsvp-e2e-ignore,tag10
18,ggp,tag5
2,chaos,tag10
6,tcf,tag8
5,secure-vmtp,tag7
14,ah,tag5
15,cpnx,tag6
18,rsvp,tag2
0,dsr,tag7
2,tcp,tag2
11,smp,tag10
1,sctp,tag1
17,compaq-peer,tag7
14,dsr,tag2
19,skip,tag9
1,xns-idp,tag3
17,emcon,tag3
19,wesp,tag3
5,uti,tag6
2,aris,tag3
16,manet,tag6
7,rdp,tag7
2,ipip,tag4
4,scc-sp,tag9
7,sat-expak,tag3
18,rsvp-e2e-ignore,tag9
1,tlsp,tag3
0,rvd,tag4
18,mpls-in-ip,tag3
5,mux,tag2
17,idrp,tag8
1,vines,tag10
10,idpr-cmtp,tag9
5,eigrp,tag1
15,rsvp-e2e-ignore,tag6
18,vrrp,tag6
11,visa,tag10
15,pup,tag9
17,tp++,tag7
7,snp,tag3
7,aggfrag,tag9
12,mpls-in-ip,tag5
1,swipe (deprecated),tag6
19,ipv6,tag3
17,sps,tag3
13,nvp-ii,tag6
1,secure-vmtp,tag1
4,qnx,tag10
6,ipv6-frag,tag3
8,pvp,tag7
19,igp,tag3
5,wb-mon,tag1
7,ipx-in-ip,tag9
19,sprite-rpc,tag1
4,tlsp,tag3
13,ifmp,tag8
18,fire,tag6
17,compaq-peer,tag10
17,uti,tag5
19,fc,tag1
3,chaos,tag10
14,mfe-nsp,tag1
4,isis over ipv4,tag7
6,isis over ipv4,tag4
14,dsr,tag4
9,sdrp,tag1
11,ipx-in-ip,tag4
16,hopopt,tag7
9,ddx,tag2
2,irtp,tag6
14,ospfigp,tag8
12,pim,tag7
11,wb-mon,tag1
4,snp,tag6
14,igp,tag5
10,ipx-in-ip,tag10
1,mpls-in-ip,tag6
11,ipv6-nonxt,tag4
0,leaf-1,tag10
17,pvp,tag3
5,br-sat-mon,tag5
11,iplt,tag3
9,gre,tag10
12,netblt,tag2
13,hmp,tag5
17,ipv4,tag4
8,micp (deprecated),tag2
2,ethernet,tag3
18,aggfrag,tag9
3,sps,tag5
18,bbn-rcc-mon,tag5
8,idpr,tag5
10,idrp,tag3
6,emcon,tag7
15,argus (deprecated),tag3
17,scc-sp,tag9
15,ptp,tag10
9,visa,tag10
0,mfe-nsp,tag9
7,pim,tag4
15,gre,tag6
18,sprite-rpc,tag7
6,xtp,tag2
12,crtp,tag6
19,st,tag4
6,eigrp,tag2
14,dsr,tag1
0,rdp,tag1
4,leaf-2,tag8
1,wb-expak,tag4
3,rsvp-e2e-ignore,tag2
17,pim,tag3
11,rsvp,tag10
18,tlsp,tag1
7,mux,tag5
9,ddx,tag1
11,ipv6-frag,tag6
1,aris,tag7
1,crtp,tag2
15,sprite-rpc,tag10
4,tcp,tag8
11,trunk-1,tag3
16,sat-mon,tag3
8,sscopmce,tag5
0,hip,tag10
8,nsfnet-igp,tag1
9,tcp,tag2
13,uti,tag1
0,nsfnet-igp,tag1
18,skip,tag4
2,merit-inp,tag10
15,compaq-peer,tag10
4,ipv6,tag3
9,ipv6-route,tag5
2,iso-ip,tag3
19,ipip,tag1
10,ipv6-opts,tag6
5,tcp,tag10
18,irtp,tag10
19,igp,tag7
3,trunk-2,tag7
9,st,tag4
16,pup,tag8
13,a/n,tag1
0,vrrp,tag9
11,ipx-in-ip,tag8
10,ax.25,tag1
13,bbn-rcc-mon,tag4
14,cpnx,tag6
10,idrp,tag10
8,vines,tag9
18,stp,tag7
6,compaq-peer,tag1
4,larp,tag7
19,cpnx,tag8
2,ipv6-frag,tag7
1,micp (deprecated),tag10
4,aggfrag,tag3
11,isis over ipv4,tag8
1,tcf,tag2
15,sscopmce,tag8
18,snp,tag9
13,qnx,tag5
10,skip,tag3
4,wesp,tag6
10,ipv6-route,tag5
12,tcp,tag7
1,iso-tp4,tag9
15,wb-expak,tag3
15,pim,tag8
18,encap,tag7
13,rdp,tag6
15,gre,tag5
18,compaq-peer,tag6
8,pim,tag4
5,esp,tag6
2,trunk-1,tag4
19,mtp,tag3
3,ggp,tag3
0,ah,tag6
14,merit-inp,tag10
12,xtp,tag5
18,vmtp,tag6
4,cbt,tag1
12,qnx,tag10
1,egp,tag3
18,min-ipv4,tag1
11,ipv6-icmp,tag9
8,visa,tag9
6,pipe,tag10
1,3pc,tag9
7,micp (deprecated),tag9
17,vines,tag5
0,l2tp,tag10
7,hmp,tag8
12,il,tag3
14,ax.25,tag3
3,pipe,tag3
19,iatp,tag10
0,xtp,tag4
16,vrrp,tag4
0,xnet,tag7
8,smp,tag1
19,swipe (deprecated),tag2
5,wesp,tag8
7,rdp,tag9
1,crudp,tag10
18,nsfnet-igp,tag4
11,idpr-cmtp,tag3
1,qnx,tag2
17,st,tag10
17,igp,tag6
13,wesp,tag2
1,merit-inp,tag5
13,merit-inp,tag5
15,il,tag3
6,mfe-nsp,tag7
6,ipv6-nonxt,tag6
6,ipv6-route,tag5
3,dcn-meas,tag6
0,ipv6-opts,tag6
15,ipx-in-ip,tag10
5,udp,tag6
14,smp,tag7
11,scc-sp,tag1
1,xtp,tag7
18,rsvp-e2e-ignore,tag5
18,trunk-2,tag6
17,micp (deprecated),tag9
8,hopopt,tag8
0,iptm,tag7
8,pvp,tag8
11,cpnx,tag7
9,etherip,tag8
12,ipv4,tag5
4,xns-idp,tag4
19,kryptolan,tag1
14,sps,tag2
14,prm,tag4
0,ddx,tag7
7,qnx,tag3
16,swipe (deprecated),tag3
15,ddx,tag2
19,ipv6-nonxt,tag9
16,fc,tag3
13,compaq-peer,tag6
3,ptp,tag7
17,iatp,tag2
7,sscopmce,tag1
19,hmp,tag9
1,leaf-1,tag1
8,isis over ipv4,tag9
19,kryptolan,tag3
3,st,tag7
8,ipcomp,tag9
9,hopopt,tag9
6,ipv6,tag3
5,mux,tag6
8,compaq-peer,tag9
6,gre,tag8
6,rdp,tag2
13,aris,tag1
16,hopopt,tag1
7,st,tag3
10,pup,tag7
7,mux,tag3
4,micp (deprecated),tag1
16,mux,tag1
3,bna,tag1
4,manet,tag5
4,rohc,tag2
1,trunk-2,tag4
10,trunk-2,tag5
2,igmp,tag8
0,hmp,tag8
19,iso-ip,tag1
1,tlsp,tag9
16,swipe (deprecated),tag5
10,pipe,tag3
3,tcp,tag6
4,cphb,tag9
0,rsvp,tag7
1,hip,tag5
4,cphb,tag8
2,min-ipv4,tag9
19,argus (deprecated),tag7
12,trunk-1,tag2
14,iptm,tag4
1,sps,tag7
13,sat-expak,tag3
15,hip,tag1
10,smp,tag4
10,leaf-1,tag6
8,a/n,tag4
10,ptp,tag3
10,udp,tag10
12,dsr,tag10
5,hmp,tag3
16,vines,tag7
3,pipe,tag6
10,ipip,tag3
8,mpls-in-ip,tag10
5,smp,tag3
18,irtp,tag1
10,xnet,tag4
17,esp,tag2
8,qnx,tag7
8,bna,tag4
12,tp++,tag9
2,uti,tag8
0,dsr,tag6
8,dccp,tag10
9,skip,tag3
12,il,tag2
1,hmp,tag7
18,min-ipv4,tag5
19,narp,tag3
11,ipv6-opts,tag3
9,ipv4,tag4
13,rvd,tag4
13,iso-tp4,tag3
4,iatp,tag4
8,sat-mon,tag4
0,cpnx,tag7
14,udp,tag2
0,snp,tag7
0,shim6,tag7
18,sun-nd,tag8
8,qnx,tag9
13,fire,tag2
8,encap,tag4
11,gmtp,tag4
1,skip,tag6
17,ipv4,tag5
15,chaos,tag2
18,mpls-in-ip,tag1
10,emcon,tag6
12,xns-idp,tag5
11,ipv6-frag,tag2
12,wesp,tag5
1,smp,tag9
2,st,tag5
17,smp,tag8
5,ethernet,tag5
15,udp,tag1
17,min-ipv4,tag7
7,idpr,tag6
7,iso-ip,tag4
14,gre,tag8
9,nsh,tag2
5,kryptolan,tag10
7,dcn-meas,tag8
16,ipcv,tag9
1,3pc,tag10
18,i-nlsp,tag5
3,vines,tag9
11,secure-vmtp,tag8
5,wsn,tag2
5,etherip,tag4
8,ipip,tag7
0,pgm,tag9
1,merit-inp,tag3
11,mux,tag1
16,isis over ipv4,tag7
17,xns-idp,tag3
10,scps,tag4
7,rsvp-e2e-ignore,tag2
7,ipcv,tag4
15,fc,tag9
7,hip,tag10
4,mobility header,tag2
0,ipx-in-ip,tag6
2,dccp,tag6
5,encap,tag9
5,ospfigp,tag10
1,mobility header,tag2
10,iptm,tag4
2,udp,tag3
16,emcon,tag4
10,ah,tag10
2,udp,tag2
9,trunk-1,tag4
7,pvp,tag6
5,compaq-peer,tag3
8,igp,tag6
12,trunk-2,tag7
17,bbn-rcc-mon,tag4
13,ipcomp,tag6
14,bna,tag7
8,emcon,tag7
13,ptp,tag5
19,skip,tag6
19,ifmp,tag8
8,narp,tag1
12,tcf,tag5
0,rsvp,tag8
8,sat-mon,tag10
2,narp,tag3
17,3pc,tag1
4,smp,tag5
15,igmp,tag3
5,pup,tag4
10,emcon,tag10
2,trunk-2,tag5
18,srp,tag5
12,vmtp,tag3
11,idpr,tag10
16,netblt,tag4
10,emcon,tag3
4,iso-tp4,tag2
5,dsr,tag5
5,sprite-rpc,tag1
19,tlsp,tag2
16,pgm,tag3
12,swipe (deprecated),tag9
14,pipe,tag10
14,pup,tag5
7,rohc,tag3
13,ipv6-frag,tag1
18,ipip,tag4
3,mfe-nsp,tag6
2,trunk-2,tag8
0,pgm,tag6
9,bbn-rcc-mon,tag4
9,wesp,tag10
17,sat-expak,tag4
6,sdrp,tag7
4,ethernet,tag1
1,trunk-2,tag7
8,hip,tag1
11,il,tag10
17,xns-idp,tag6
19,irtp,tag10
9,ipv6-frag,tag4
14,fire,tag10
14,sat-expak,tag8
6,irtp,tag5
10,hmp,tag10
5,esp,tag9
7,pipe,tag10
8,mfe-nsp,tag10
18,idrp,tag3
13,isis over ipv4,tag8
11,pup,tag1
16,bna,tag2
0,ipcomp,tag3
7,ggp,tag5
11,netblt,tag10
7,scc-sp,tag5
15,wsn,tag5
5,aris,tag9
18,cpnx,tag4
19,esp,tag10
5,idrp,tag6
3,tcp,tag8
8,ipv6-opts,tag2
7,iatp,tag6
7,cpnx,tag6
9,wesp,tag8
16,min-ipv4,tag4
10,micp (deprecated),tag7
7,ipcv,tag3
4,cphb,tag7
8,pvp,tag10
12,vmtp,tag8
6,st,tag8
5,wsn,tag9
3,ipv4,tag6
15,bbn-rcc-mon,tag2
16,ddx,tag3
2,skip,tag9
19,sat-expak,tag9
17,iplt,tag7
16,irtp,tag3
7,rohc,tag4
9,ipip,tag6
14,sprite-rpc,tag2
12,rsvp,tag7
18,ipv6-opts,tag4
13,leaf-1,tag9
10,tcf,tag7
10,br-sat-mon,tag3
6,esp,tag5
14,mux,tag5
9,ptp,tag5
16,smp,tag4
4,manet,tag10
10,hmp,tag9
13,sscopmce,tag8
2,rsvp,tag1
9,mux,tag3
6,udplite,tag9
0,ifmp,tag1
17,smp,tag7
6,etherip,tag2
12,iatp,tag3
8,tcp,tag7
18,sdrp,tag4
13,scps,tag10
17,pup,tag10
16,ggp,tag3
13,ipip,tag3
5,stp,tag6
0,tlsp,tag10
15,aggfrag,tag2
6,tcp,tag4
8,cftp,tag8
16,ipv6-opts,tag7
9,trunk-2,tag9
1,cphb,tag3
4,isis over ipv4,tag8
12,nsfnet-igp,tag5
9,pvp,tag3
4,rohc,tag8
12,crudp,tag7
17,sprite-rpc,tag9
0,argus (deprecated),tag4
16,pim,tag5
9,narp,tag5
14,wsn,tag7
19,idpr-cmtp,tag6
1,visa,tag8
4,tlsp,tag10
0,icmp,tag10
11,min-ipv4,tag3
11,mfe-nsp,tag3
0,swipe (deprecated),tag4
7,ospfigp,tag8
6,l2tp,tag2
19,irtp,tag6
4,ippc,tag7
16,ipcomp,tag3
6,ddp,tag10
13,argus (deprecated),tag3
19,chaos,tag4
15,wsn,tag10
2,min-ipv4,tag7
18,narp,tag7
18,wb-mon,tag5
7,cpnx,tag4
17,xtp,tag5
4,prm,tag10
6,dgp,tag1
2,esp,tag1
2,ipcv,tag10
17,sat-mon,tag2
9,ipv6-opts,tag4
12,mfe-nsp,tag8
15,wesp,tag5
5,aris,tag3
15,ipcomp,tag1
19,min-ipv4,tag7
0,ipv6-frag,tag9
11,xns-idp,tag1
1,cbt,tag6
4,chaos,tag1
14,ptp,tag6
10,ethernet,tag3
2,gre,tag3
7,idrp,tag3
4,trunk-2,tag6
5,rdp,tag5
15,pnni,tag2
7,idpr,tag2
2,egp,tag2
1,mtp,tag3
16,l2tp,tag4
2,netblt,tag10
6,merit-inp,tag7
19,cpnx,tag4
1,i-nlsp,tag7
0,leaf-1,tag6
18,compaq-peer,tag10
17,nvp-ii,tag4
12,wsn,tag10
15,etherip,tag4
3,br-sat-mon,tag1
1,pim,tag10
2,dsr,tag4
3,cphb,tag1
8,merit-inp,tag1
17,vrrp,tag7
9,emcon,tag3
16,hopopt,tag9
16,wsn,tag10
15,xns-idp,tag5
10,tp++,tag8
15,min-ipv4,tag3
19,trunk-2,tag9
2,a/n,tag6
4,cftp,tag4
3,aris,tag8
0,sat-mon,tag10
18,ethernet,tag9
16,rsvp,tag7
7,i-nlsp,tag6
1,swipe (deprecated),tag4
16,iso-ip,tag7
6,gre,tag9
16,skip,tag3
11,prm,tag9
7,igp,tag10
4,mtp,tag4
0,manet,tag7
18,pvp,tag9
7,xnet,tag6
17,sun-nd,tag10
1,egp,tag4
12,fc,tag8
17,sctp,tag1
1,nsh,tag8
1,sun-nd,tag2
10,ddp,tag6
0,ipv6-icmp,tag3
14,ifmp,tag5
14,compaq-peer,tag7
8,ax.25,tag8
8,tcf,tag1
7,pnni,tag3
1,sun-nd,tag5
8,ifmp,tag4
1,cbt,tag2
18,iatp,tag1
2,xns-idp,tag4
8,mtp,tag7
14,mobility header,tag2
1,pgm,tag7
1,rsvp,tag3
12,ipcomp,tag8
9,tlsp,tag1
11,ethernet,tag4
10,fire,tag7
10,shim6,tag6
4,ifmp,tag9
2,igp,tag9
11,argus (deprecated),tag1
2,sat-expak,tag4
3,skip,tag5
14,bbn-rcc-mon,tag3
5,mtp,tag7
1,nsfnet-igp,tag1
10,ipv4,tag1
9,ipip,tag10
10,ddx,tag1
6,udp,tag7
0,manet,tag2
17,idpr,tag4
17,ipcv,tag9
1,ethernet,tag3
1,narp,tag10
1,ddx,tag9
14,idpr,tag5
4,pup,tag6
8,ipv6-opts,tag8
7,xtp,tag10
14,eigrp,tag2
7,visa,tag9
3,dsr,tag1
19,irtp,tag9
14,sdrp,tag10
19,fire,tag4
15,sm (deprecated),tag7
6,i-nlsp,tag6
1,sdrp,tag7
19,udp,tag2
0,ipv6-opts,tag2
12,sat-expak,tag9
2,nvp-ii,tag3
15,secure-vmtp,tag9
9,udplite,tag8
4,trunk-2,tag4
8,nsfnet-igp,tag8
0,iplt,tag3
11,cphb,tag9
1,snp,tag1
16,udp,tag8
1,secure-vmtp,tag10
3,ipv6-nonxt,tag9
18,aris,tag4
16,compaq-peer,tag3
10,igmp,tag5
5,snp,tag5
8,nvp-ii,tag5
1,gre,tag8
8,scc-sp,tag1
16,min-ipv4,tag2
19,tlsp,tag7
17,ospfigp,tag7
13,aris,tag2
13,visa,tag10
18,snp,tag8
9,cftp,tag4
8,shim6,tag8
17,shim6,tag9
18,ipv4,tag8
6,secure-vmtp,tag1
15,nsfnet-igp,tag10
11,xtp,tag4
2,il,tag4
7,tlsp,tag7
10,idpr,tag6
14,mux,tag3
8,swipe (deprecated),tag10
13,manet,tag3
5,fire,tag4
15,ethernet,tag6
8,iptm,tag3
0,ifmp,tag7
4,wb-expak,tag5
12,ddx,tag3
19,smp,tag5
5,ipv6-icmp,tag3
16,ipcv,tag6
12,sprite-rpc,tag10
4,vines,tag1
17,ipv6-opts,tag8
19,hip,tag8
14,igmp,tag10
4,cftp,tag6
5,ipip,tag9
6,vrrp,tag4
18,ospfigp,tag3
19,min-ipv4,tag1
15,tp++,tag8
14,gmtp,tag9
7,mobility header,tag4
13,ipcv,tag10
6,manet,tag6
18,pnni,tag5
16,aggfrag,tag5
5,encap,tag1
14,netblt,tag4
