destport,protocol,tag
18,ipv6-icmp,tag7
3,crudp,tag7
18,pgm,tag4
2,crudp,tag3
11,udplite,tag3
14,ipcv,tag10
5,egp,tag10
6,skip,tag8
17,ipv4,tag8
19,wsn,tag3
14,chaos,tag7
10,xnet,tag3
18,pnni,tag6
16,ipv4,tag1
9,tp++,tag7
9,tlsp,tag3
13,icmp,tag5
7,vines,tag3
14,cftp,tag3
8,hmp,tag2
19,ipv6-route,tag5
16,aris,tag1
10,ospfigp,tag6
0,scps,tag6
8,iptm,tag5
11,min-ipv4,tag9
1,sctp,tag6
1,pup,tag4
5,sat-expak,tag1
8,ipip,tag7
13,wsn,tag8
16,ipv6-frag,tag5
1,iptm,tag4
17,min-ipv4,tag10
10,micp (deprecated),tag10
0,mtp,tag10
12,udp,tag9
13,wsn,tag4
5,dcn-meas,tag10
17,snp,tag2
12,prm,tag4
10,shim6,tag10
7,ospfigp,tag8
16,mobility header,tag9
3,ethernet,tag10
17,icmp,tag6
11,igmp,tag4
16,visa,tag6
13,pipe,tag3
18,iatp,tag10
5,i-nlsp,tag9
12,udp,tag1
7,compaq-peer,tag4
7,ipv6-route,tag7
3,ptp,tag9
16,shim6,tag8
5,mfe-nsp,tag9
4,ax.25,tag6
12,rsvp-e2e-ignore,tag1
2,netblt,tag8
1,hip,tag1
11,encap,tag9
14,prm,tag5
16,snp,tag5
18,ipx-in-ip,tag2
14,sm (deprecated),tag3
3,br-sat-mon,tag8
3,iptm,tag4
3,pup,tag3
4,aris,tag9
2,merit-inp,tag4
11,3pc,tag7
2,ippc,tag5
4,encap,tag6
6,sm (deprecated),tag2
2,sprite-rpc,tag10
11,manet,tag2
19,crtp,tag2
2,aris,tag5
0,vmtp,tag1
3,tcp,tag4
13,ipcv,tag4
1,shim6,tag7
16,egp,tag9
15,wb-expak,tag9
7,sprite-rpc,tag3
9,xtp,tag4
8,st,tag9
17,egp,tag6
18,ddx,tag1
16,mpls-in-ip,tag9
16,udplite,tag3
8,icmp,tag1
16,sps,tag7
0,tlsp,tag6
2,ipv6-nonxt,tag7
0,ptp,tag2
2,sscopmce,tag6
5,dgp,tag5
18,pim,tag3
17,mpls-in-ip,tag9
15,i-nlsp,tag10
11,smp,tag1
18,larp,tag3
13,etherip,tag9
0,wb-expak,tag8
11,nsfnet-igp,tag3
15,crtp,tag8
8,rsvp,tag6
0,secure-vmtp,tag9
11,rsvp-e2e-ignore,tag7
0,pnni,tag6
15,tp++,tag4
17,fire,tag2
6,3pc,tag10
9,merit-inp,tag10
6,ddp,tag10
14,ggp,tag10
17,iatp,tag10
4,ipx-in-ip,tag8
1,iatp,tag10
9,eigrp,tag1
5,secure-vmtp,tag3
10,xtp,tag9
14,dccp,tag1
1,ptp,tag5
1,wesp,tag6
3,ipv6-nonxt,tag7
7,prm,tag9
19,crtp,tag8
16,l2tp,tag6
4,br-sat-mon,tag3
14,cpnx,tag10
11,eigrp,tag9
2,bna,tag7
19,larp,tag7
1,wb-mon,tag10
0,merit-inp,tag6
5,i-nlsp,tag10
13,sps,tag3
12,pup,tag7
5,rohc,tag5
5,udplite,tag10
15,pvp,tag9
9,ipv6-frag,tag2
14,chaos,tag1
16,gmtp,tag7
17,aggfrag,tag3
18,hmp,tag2
5,aggfrag,tag8
14,xns-idp,tag7
3,sprite-rpc,tag3
3,narp,tag2
16,udp,tag2
10,a/n,tag10
7,nvp-ii,tag8
3,vmtp,tag7
14,mobility header,tag7
7,cftp,tag4
19,mtp,tag9
16,scc-sp,tag7
19,skip,tag7
11,wb-expak,tag10
3,xtp,tag8
9,wb-expak,tag4
10,l2tp,tag7
8,pgm,tag2
1,isis over ipv4,tag10
16,ipip,tag9
5,narp,tag9
6,merit-inp,tag10
4,prm,tag7
9,chaos,tag2
11,min-ipv4,tag2
10,igmp,tag4
3,rohc,tag7
8,ipv6-frag,tag7
13,ipcv,tag3
8,cpnx,tag1
10,vrrp,tag2
17,etherip,tag7
3,sps,tag6
5,ipv6-route,tag9
16,ospfigp,tag1
13,nvp-ii,tag6
18,wesp,tag3
5,kryptolan,tag2
18,il,tag10
5,prm,tag9
7,udplite,tag6
7,visa,tag6
14,srp,tag6
7,tcf,tag7
17,a/n,tag3
18,ethernet,tag4
17,l2tp,tag10
5,stp,tag9
17,secure-vmtp,tag5
18,crtp,tag7
16,pgm,tag1
15,iso-tp4,tag10
19,iptm,tag6
3,sun-nd,tag9
18,dgp,tag9
18,br-sat-mon,tag1
0,gre,tag2
2,merit-inp,tag10
11,ggp,tag3
9,xtp,tag8
18,visa,tag7
8,gmtp,tag7
7,mtp,tag6
2,gmtp,tag7
13,pvp,tag8
13,igp,tag7
17,rvd,tag3
9,crtp,tag3
5,udplite,tag5
16,crtp,tag9
5,ipv6-opts,tag5
9,cphb,tag5
10,ax.25,tag4
10,hmp,tag3
9,sm (deprecated),tag4
18,ipv4,tag2
13,idpr-cmtp,tag4
13,rsvp,tag2
19,stp,tag10
4,sctp,tag3
14,eigrp,tag9
17,pnni,tag4
17,mpls-in-ip,tag5
8,udp,tag10
1,leaf-1,tag2
5,sat-mon,tag2
7,swipe (deprecated),tag3
18,emcon,tag10
0,smp,tag9
8,rvd,tag5
12,micp (deprecated),tag3
3,hopopt,tag1
9,cphb,tag8
16,swipe (deprecated),tag7
18,sscopmce,tag7
12,vmtp,tag8
8,nsh,tag1
9,dgp,tag6
6,udp,tag2
0,shim6,tag6
9,dccp,tag1
7,irtp,tag10
16,eigrp,tag8
17,l2tp,tag9
17,hopopt,tag10
17,dcn-meas,tag7
5,ipcv,tag6
15,idrp,tag4
9,sscopmce,tag3
15,ippc,tag6
9,wsn,tag6
13,rvd,tag9
2,ddp,tag7
4,dgp,tag10
13,micp (deprecated),tag7
7,vmtp,tag7
18,irtp,tag5
5,pipe,tag3
6,swipe (deprecated),tag1
3,ipv6,tag6
15,iatp,tag9
3,fire,tag10
5,smp,tag10
12,ddx,tag7
1,kryptolan,tag9
1,icmp,tag6
1,sun-nd,tag9
16,snp,tag10
1,wsn,tag2
6,argus (deprecated),tag1
8,crudp,tag7
10,argus (deprecated),tag3
6,l2tp,tag1
6,ipv4,tag10
9,br-sat-mon,tag3
19,etherip,tag5
9,iatp,tag5
17,isis over ipv4,tag10
3,prm,tag4
0,cftp,tag10
16,rdp,tag10
16,esp,tag7
11,hmp,tag10
3,pnni,tag4
19,ipv6-route,tag8
13,dgp,tag5
2,iptm,tag8
0,ipv6-nonxt,tag9
16,gre,tag4
14,etherip,tag10
2,ipv6,tag7
5,bbn-rcc-mon,tag6
4,udp,tag5
1,isis over ipv4,tag5
2,secure-vmtp,tag6
6,ifmp,tag8
6,pup,tag8
17,idpr-cmtp,tag4
13,crudp,tag8
9,bna,tag5
16,ipv6-opts,tag7
1,micp (deprecated),tag10
4,emcon,tag6
15,aris,tag2
8,ipv6-opts,tag3
6,l2tp,tag9
4,nsfnet-igp,tag5
1,aris,tag1
14,irtp,tag5
12,udp,tag8
1,ipx-in-ip,tag4
19,hmp,tag8
19,pipe,tag8
8,xnet,tag9
5,pvp,tag9
8,igmp,tag6
19,sm (deprecated),tag3
18,iso-ip,tag4
10,swipe (deprecated),tag10
13,sps,tag8
1,mpls-in-ip,tag9
7,rdp,tag5
15,sdrp,tag3
13,sprite-rpc,tag2
15,dcn-meas,tag5
13,secure-vmtp,tag3
10,ipv4,tag5
9,xns-idp,tag6
14,ipv4,tag4
10,sscopmce,tag10
16,ipcomp,tag5
1,eigrp,tag3
6,iso-tp4,tag3
13,wb-mon,tag5
18,trunk-1,tag4
17,tcp,tag3
4,vines,tag2
7,tcp,tag2
1,ipv6-opts,tag9
8,sat-mon,tag9
2,l2tp,tag8
12,xnet,tag10
1,ippc,tag3
19,ddp,tag3
8,xnet,tag1
15,iatp,tag5
16,tlsp,tag10
2,etherip,tag7
17,sat-mon,tag5
10,uti,tag10
19,sdrp,tag1
8,larp,tag6
6,xns-idp,tag10
6,l2tp,tag4
8,iptm,tag10
19,sdrp,tag8
9,pnni,tag7
11,dsr,tag4
15,iplt,tag8
1,hip,tag2
14,sctp,tag5
3,xnet,tag4
10,vines,tag2
3,mux,tag4
19,narp,tag7
3,il,tag3
16,ipv6-icmp,tag9
12,igp,tag7
1,ipv6-opts,tag8
1,prm,tag10
6,iptm,tag10
14,idrp,tag3
10,cpnx,tag5
5,netblt,tag7
8,emcon,tag7
17,emcon,tag7
12,st,tag3
1,pim,tag6
13,wb-expak,tag6
4,tlsp,tag9
5,dccp,tag7
0,xtp,tag6
16,mobility header,tag5
18,nsfnet-igp,tag8
2,mfe-nsp,tag1
7,tp++,tag2
0,pvp,tag8
4,idpr,tag1
14,smp,tag9
16,3pc,tag10
15,rsvp-e2e-ignore,tag3
6,merit-inp,tag6
0,nsh,tag2
9,sscopmce,tag4
19,stp,tag9
10,ipv6-opts,tag7
11,dsr,tag8
13,hmp,tag9
15,chaos,tag9
17,esp,tag6
1,sm (deprecated),tag10
1,hip,tag9
14,ptp,tag8
2,rvd,tag8
9,wesp,tag9
6,leaf-2,tag1
5,ippc,tag5
2,ipv6-icmp,tag2
3,dcn-meas,tag10
2,ipcomp,tag9
13,vrrp,tag9
2,wb-mon,tag3
2,merit-inp,tag9
15,crtp,tag10
0,nvp-ii,tag3
12,ipx-in-ip,tag3
11,l2tp,tag10
12,vines,tag9
6,nvp-ii,tag6
2,leaf-1,tag3
3,mtp,tag9
15,ah,tag3
15,ifmp,tag2
4,nvp-ii,tag6
0,xns-idp,tag1
10,bbn-rcc-mon,tag4
9,merit-inp,tag7
8,ospfigp,tag5
13,dcn-meas,tag2
19,min-ipv4,tag2
6,bbn-rcc-mon,tag4
8,bbn-rcc-mon,tag6
16,prm,tag2
0,dccp,tag7
19,ifmp,tag7
1,vrrp,tag5
12,tp++,tag2
17,ipv6-nonxt,tag2
3,dccp,tag3
13,cpnx,tag9
18,sprite-rpc,tag2
7,rvd,tag1
15,rsvp-e2e-ignore,tag6
19,xnet,tag7
11,pup,tag1
16,sctp,tag1
15,ethernet,tag4
16,hopopt,tag1
2,3pc,tag2
3,xns-idp,tag2
2,dsr,tag4
17,st,tag10
16,st,tag6
9,wb-mon,tag9
1,l2tp,tag9
5,sat-expak,tag5
16,cbt,tag6
11,igmp,tag1
13,rdp,tag6
6,merit-inp,tag8
17,ipcv,tag10
18,ddx,tag10
19,crtp,tag1
18,srp,tag10
1,prm,tag2
13,idpr,tag9
15,iatp,tag4
6,gmtp,tag10
4,etherip,tag7
9,ipx-in-ip,tag3
17,dccp,tag1
12,min-ipv4,tag8
5,fire,tag3
17,kryptolan,tag3
2,idpr-cmtp,tag1
6,iso-ip,tag6
8,dccp,tag10
16,kryptolan,tag5
15,gre,tag2
6,ipx-in-ip,tag5
18,emcon,tag1
3,rvd,tag9
13,nvp-ii,tag8
18,ethernet,tag1
10,iso-tp4,tag4
8,br-sat-mon,tag4
14,icmp,tag9
11,aris,tag8
4,ipv6-icmp,tag2
15,rsvp,tag10
17,sprite-rpc,tag1
2,iso-ip,tag8
1,egp,tag10
6,igp,tag4
17,dccp,tag6
6,leaf-1,tag5
6,a/n,tag2
14,tcf,tag1
16,narp,tag7
1,qnx,tag2
11,sat-expak,tag10
9,rsvp-e2e-ignore,tag8
6,sm (deprecated),tag1
9,skip,tag4
4,sun-nd,tag10
3,skip,tag8
0,snp,tag3
10,secure-vmtp,tag2
18,ipcv,tag10
1,prm,tag7
0,sctp,tag6
11,smp,tag3
19,qnx,tag8
3,srp,tag1
9,wb-mon,tag7
13,ifmp,tag1
14,kryptolan,tag2
10,larp,tag2
10,merit-inp,tag1
16,aggfrag,tag5
12,dsr,tag9
1,mfe-nsp,tag9
1,ggp,tag5
6,ipv6-frag,tag3
8,isis over ipv4,tag6
2,ipv6-opts,tag7
1,crtp,tag7
18,ipcomp,tag7
11,idrp,tag5
13,tlsp,tag1
2,st,tag5
9,pnni,tag6
7,dcn-meas,tag8
7,ax.25,tag6
8,sctp,tag3
9,vmtp,tag5
18,fc,tag3
10,ggp,tag8
11,xns-idp,tag6
13,dsr,tag2
1,bna,tag5
14,hmp,tag7
9,gre,tag10
16,skip,tag8
2,prm,tag4
2,ah,tag8
15,idpr,tag1
0,compaq-peer,tag7
19,nsh,tag1
17,ddp,tag4
3,mux,tag1
2,vmtp,tag4
13,i-nlsp,tag6
2,pup,tag9
10,iso-tp4,tag2
1,tcf,tag9
19,wb-expak,tag8
8,sun-nd,tag10
15,pim,tag7
1,ipv6-nonxt,tag5
5,sat-mon,tag9
13,ah,tag1
9,pvp,tag6
8,vines,tag7
5,swipe (deprecated),tag9
4,hip,tag5
17,ipv6-nonxt,tag7
5,trunk-1,tag4
17,ggp,tag9
13,pgm,tag4
5,visa,tag3
19,min-ipv4,tag8
1,ax.25,tag3
1,sat-expak,tag8
19,iatp,tag2
19,vrrp,tag5
14,pnni,tag5
4,hmp,tag3
10,sdrp,tag8
6,rsvp,tag5
14,pgm,tag2
13,prm,tag4
15,rsvp,tag1
3,argus (deprecated),tag4
14,tcp,tag4
12,tcp,tag3
0,sctp,tag8
5,rohc,tag8
16,sat-expak,tag5
13,sprite-rpc,tag4
3,sm (deprecated),tag1
9,vmtp,tag4
17,bbn-rcc-mon,tag3
7,cpnx,tag2
4,kryptolan,tag5
18,idpr-cmtp,tag7
3,iso-ip,tag4
4,isis over ipv4,tag3
5,isis over ipv4,tag4
7,tcp,tag10
5,ipcomp,tag9
1,icmp,tag2
19,idpr,tag3
12,xtp,tag5
9,snp,tag4
3,hmp,tag7
10,idpr-cmtp,tag7
12,iptm,tag3
12,bbn-rcc-mon,tag2
19,chaos,tag3
1,sdrp,tag6
1,wb-mon,tag6
7,encap,tag10
15,sun-nd,tag3
8,isis over ipv4,tag10
3,mux,tag10
19,egp,tag9
19,encap,tag9
2,ethernet,tag5
18,trunk-2,tag9
13,trunk-1,tag1
5,idpr,tag8
10,isis over ipv4,tag1
3,tcp,tag1
17,irtp,tag7
12,mtp,tag2
2,fire,tag1
9,leaf-2,tag1
14,scps,tag9
5,wb-mon,tag4
5,dccp,tag3
11,srp,tag6
19,compaq-peer,tag10
10,smp,tag3
6,shim6,tag10
11,cftp,tag7
5,crudp,tag9
19,ipip,tag6
1,sun-nd,tag3
11,sscopmce,tag8
16,ifmp,tag2
11,wesp,tag7
14,aggfrag,tag1
14,sprite-rpc,tag1
6,idpr-cmtp,tag8
1,manet,tag7
9,idpr-cmtp,tag2
9,wb-mon,tag5
12,leaf-2,tag5
2,ptp,tag8
8,leaf-2,tag8
15,udplite,tag7
6,micp (deprecated),tag10
10,irtp,tag4
15,rsvp,tag3
6,nsfnet-igp,tag3
9,ddx,tag2
8,tcf,tag5
8,igmp,tag5
8,eigrp,tag8
6,sat-mon,tag9
16,sctp,tag4
18,esp,tag10
11,eigrp,tag7
1,mtp,tag4
1,mobility header,tag8
3,il,tag1
9,iso-ip,tag9
8,iatp,tag4
9,gre,tag8
9,eigrp,tag10
18,ipv6-opts,tag1
0,cftp,tag1
18,dccp,tag10
2,rsvp,tag3
9,ipv6-nonxt,tag1
16,eigrp,tag10
12,vines,tag2
11,ethernet,tag10
14,esp,tag3
17,idpr,tag8
0,trunk-2,tag8
7,a/n,tag2
7,ptp,tag2
18,bna,tag7
17,ipv6-frag,tag7
1,fc,tag4
19,sdrp,tag4
15,compaq-peer,tag4
7,scps,tag9
13,nsfnet-igp,tag10
14,dsr,tag2
14,ipcv,tag6
4,pim,tag4
5,udplite,tag9
18,iatp,tag9
10,merit-inp,tag3
19,wsn,tag5
18,pnni,tag4
5,pgm,tag3
2,ipv6-frag,tag6
5,mtp,tag1
15,ipv6-icmp,tag6
1,ipv6-opts,tag3
6,ddp,tag5
10,trunk-1,tag7
9,rsvp,tag1
6,ipv4,tag5
14,uti,tag2
14,ipip,tag4
9,gmtp,tag1
9,mfe-nsp,tag2
1,swipe (deprecated),tag7
0,3pc,tag7
14,iatp,tag2
14,iptm,tag8
16,ipv6,tag2
3,igp,tag7
16,sdrp,tag10
2,pipe,tag5
16,nvp-ii,tag5
12,sdrp,tag6
14,leaf-1,tag3
7,dcn-meas,tag3
13,icmp,tag3
12,leaf-2,tag7
16,rohc,tag6
3,st,tag10
17,emcon,tag8
0,sscopmce,tag6
19,idrp,tag2
13,sprite-rpc,tag3
6,aris,tag2
8,wb-expak,tag3
12,st,tag2
14,rohc,tag5
6,scps,tag8
12,shim6,tag3
18,crtp,tag2
4,ddx,tag2
0,pup,tag2
3,scps,tag1
9,sat-expak,tag2
2,rsvp-e2e-ignore,tag2
9,ospfigp,tag2
0,leaf-1,tag1
1,gre,tag2
3,secure-vmtp,tag1
11,vmtp,tag3
16,il,tag9
9,ipv6,tag10
10,gre,tag8
3,compaq-peer,tag8
19,udp,tag9
8,ipv6-frag,tag5
8,pim,tag9
7,idpr-cmtp,tag6
11,icmp,tag3
10,chaos,tag2
0,st,tag7
0,fc,tag10
8,wesp,tag6
5,pgm,tag10
7,uti,tag7
12,dccp,tag2
11,sctp,tag9
5,idpr-cmtp,tag9
18,eigrp,tag5
3,sm (deprecated),tag10
6,tcp,tag8
13,nsh,tag10
13,ax.25,tag7
14,trunk-2,tag8
1,pvp,tag4
12,cphb,tag8
19,sat-mon,tag4
8,shim6,tag1
7,ethernet,tag8
19,pim,tag9
3,ipv6-frag,tag9
6,trunk-1,tag7
9,fire,tag3
4,ah,tag5
7,ipv6-frag,tag10
5,nvp-ii,tag9
15,crtp,tag3
15,ifmp,tag1
0,pup,tag6
7,ddx,tag10
11,encap,tag4
18,compaq-peer,tag8
8,argus (deprecated),tag4
2,etherip,tag10
6,idpr,tag4
2,qnx,tag2
12,a/n,tag6
6,kryptolan,tag10
11,xnet,tag3
10,tlsp,tag1
1,chaos,tag8
10,iso-tp4,tag10
14,xns-idp,tag9
7,cphb,tag7
11,ethernet,tag8
1,mobility header,tag9
19,mpls-in-ip,tag10
12,idpr,tag5
17,cftp,tag1
14,vines,tag1
13,wb-mon,tag9
19,ipv6,tag1
7,iptm,tag6
8,ippc,tag7
14,pim,tag10
4,rvd,tag7
15,eigrp,tag7
0,idpr-cmtp,tag10
5,crudp,tag3
16,xtp,tag4
1,argus (deprecated),tag6
5,mobility header,tag4
6,ax.25,tag9
15,iptm,tag3
14,rsvp-e2e-ignore,tag9
17,swipe (deprecated),tag9
14,eigrp,tag4
14,vrrp,tag1
19,micp (deprecated),tag1
14,a/n,tag1
12,mtp,tag10
3,hmp,tag9
15,smp,tag1
1,nsh,tag5
19,ospfigp,tag3
11,rohc,tag5
12,qnx,tag3
6,cpnx,tag2
0,rohc,tag8
3,udp,tag9
12,rsvp-e2e-ignore,tag3
2,gre,tag9
0,irtp,tag1
3,cbt,tag8
6,pim,tag5
16,nvp-ii,tag4
4,bna,tag6
19,esp,tag9
0,wesp,tag8
0,netblt,tag7
3,kryptolan,tag9
8,dsr,tag1
4,shim6,tag7
3,leaf-1,tag4
1,ipv6,tag9
12,tlsp,tag8
9,larp,tag4
2,pup,tag5
19,bna,tag5
18,wesp,tag9
7,dccp,tag7
3,compaq-peer,tag5
18,leaf-2,tag3
5,wsn,tag9
14,bna,tag1
8,idpr,tag8
9,mobility header,tag10
5,snp,tag1
18,larp,tag7
16,hmp,tag10
6,udplite,tag3
13,isis over ipv4,tag9
12,ddp,tag3
12,ax.25,tag7
2,xnet,tag3
14,nvp-ii,tag4
7,prm,tag3
15,sdrp,tag7
14,3pc,tag9
17,udplite,tag8
2,crudp,tag10
0,wb-expak,tag6
10,mtp,tag1
4,hopopt,tag8
14,micp (deprecated),tag6
16,rdp,tag9
3,ggp,tag10
19,sscopmce,tag6
3,cftp,tag9
19,ifmp,tag4
7,uti,tag10
13,sctp,tag1
3,wb-mon,tag7
19,rvd,tag10
8,il,tag5
6,udplite,tag7
17,larp,tag1
0,ipv6,tag3
4,rohc,tag4
3,mobility header,tag7
10,ipv4,tag9
16,iso-ip,tag9
16,vines,tag2
10,idpr,tag10
2,ddx,tag9
8,leaf-1,tag4
4,egp,tag4
15,cphb,tag9
6,aggfrag,tag8
5,hmp,tag6
12,tlsp,tag2
12,mux,tag9
16,kryptolan,tag3
0,scps,tag7
16,pipe,tag8
11,hopopt,tag1
4,skip,tag3
10,ptp,tag5
15,ipv6-route,tag1
10,ospfigp,tag4
3,larp,tag6
19,tcf,tag5
4,iplt,tag8
5,mfe-nsp,tag3
15,wesp,tag4
19,ipv4,tag9
19,l2tp,tag1
12,xns-idp,tag3
4,isis over ipv4,tag5
2,sm (deprecated),tag10
3,eigrp,tag7
0,dccp,tag4
17,chaos,tag6
12,nvp-ii,tag10
10,pnni,tag5
11,mpls-in-ip,tag3
17,wsn,tag7
11,igp,tag2
13,iplt,tag2
0,bbn-rcc-mon,tag7
16,emcon,tag7
5,chaos,tag1
6,larp,tag3
19,fire,tag9
13,argus (deprecated),tag8
12,fc,tag5
3,mtp,tag2
4,swipe (deprecated),tag4
13,shim6,tag8
8,sdrp,tag10
11,pim,tag7
14,tp++,tag6
13,a/n,tag9
17,aris,tag5
10,nsfnet-igp,tag4
5,mobility header,tag8
10,vmtp,tag9
6,compaq-peer,tag1
9,netblt,tag1
11,mtp,tag8
6,mux,tag4
8,nvp-ii,tag3
16,irtp,tag10
8,pim,tag7
8,ippc,tag4
7,hopopt,tag5
7,mfe-nsp,tag6
0,tlsp,tag8
15,pgm,tag9
13,tp++,tag6
8,mpls-in-ip,tag2
11,chaos,tag4
10,sps,tag8
12,sprite-rpc,tag2
16,min-ipv4,tag10
9,pnni,tag4
11,ipv6-frag,tag5
7,leaf-2,tag10
2,igp,tag9
19,il,tag4
8,igmp,tag3
5,srp,tag6
6,mobility header,tag3
0,igp,tag6
6,ospfigp,tag5
3,iplt,tag10
16,leaf-2,tag3
10,prm,tag1
6,manet,tag10
15,shim6,tag10
5,l2tp,tag2
19,il,tag5
4,xnet,tag5
12,sdrp,tag10
16,srp,tag4
15,pup,tag9
1,sps,tag6
12,qnx,tag7
14,shim6,tag6
15,wesp,tag10
14,tcf,tag10
16,manet,tag8
1,pup,tag8
8,ipv6-opts,tag7
4,dgp,tag7
15,tlsp,tag1
17,tcf,tag1
10,tlsp,tag6
4,a/n,tag5
14,cphb,tag9
8,pgm,tag8
14,kryptolan,tag10
7,mtp,tag7
3,nvp-ii,tag8
9,dcn-meas,tag2
7,mobility header,tag10
11,tlsp,tag5
19,ax.25,tag5
17,ipv6-nonxt,tag1
15,ggp,tag3
13,ipip,tag6
12,tcf,tag10
17,visa,tag6
4,pipe,tag2
6,gre,tag4
5,igp,tag5
12,ipv6-route,tag10
15,ethernet,tag7
2,eigrp,tag3
2,argus (deprecated),tag1
12,fire,tag1
12,ah,tag3
8,dgp,tag2
9,leaf-2,tag4
9,rvd,tag5
8,rsvp-e2e-ignore,tag7
18,encap,tag3
2,tp++,tag7
5,ptp,tag1
0,aggfrag,tag4
7,fire,tag8
8,min-ipv4,tag6
13,br-sat-mon,tag3
17,uti,tag6
8,mux,tag8
12,encap,tag9
5,xtp,tag2
3,sctp,tag8
12,cbt,tag10
9,iatp,tag6
18,ipv6-nonxt,tag4
18,fc,tag5
10,sun-nd,tag7
15,ipv6-frag,tag3
6,wb-mon,tag1
12,rdp,tag1
12,xnet,tag2
11,sm (deprecated),tag2
14,etherip,tag3
18,l2tp,tag10
0,l2tp,tag5
11,ipv6-frag,tag3
14,fc,tag1
0,sat-mon,tag3
0,sscopmce,tag1
18,manet,tag10
9,bna,tag10
8,tlsp,tag1
4,vmtp,tag6
7,rsvp,tag2
9,skip,tag2
12,ipv4,tag4
1,vines,tag9
12,hip,tag1
0,ifmp,tag4
16,sps,tag5
11,pim,tag4
2,sm (deprecated),tag1
9,rsvp,tag7
12,fire,tag10
0,sdrp,tag6
6,idpr,tag1
4,secure-vmtp,tag3
16,skip,tag10
0,micp (deprecated),tag4
14,icmp,tag10
18,stp,tag5
19,sat-mon,tag10
12,a/n,tag9
12,igmp,tag8
10,3pc,tag5
16,egp,tag6
4,srp,tag3
17,aggfrag,tag1
14,udp,tag1
17,snp,tag1
12,wb-mon,tag9
4,xns-idp,tag8
5,nvp-ii,tag5
16,ah,tag9
6,il,tag6
13,st,tag9
2,chaos,tag7
8,iplt,tag1
12,ipv6-frag,tag5
13,egp,tag4
0,vrrp,tag8
13,snp,tag6
4,3pc,tag10
10,rohc,tag8
7,ipv6-frag,tag7
7,rsvp-e2e-ignore,tag10
15,larp,tag1
14,cpnx,tag3
9,vrrp,tag1
15,skip,tag7
5,dcn-meas,tag3
1,sm (deprecated),tag5
3,sun-nd,tag1
18,i-nlsp,tag10
2,rsvp,tag2
3,secure-vmtp,tag10
17,icmp,tag3
12,pim,tag6
10,br-sat-mon,tag4
5,dgp,tag8
7,cphb,tag2
0,irtp,tag9
13,leaf-1,tag4
10,kryptolan,tag2
17,leaf-2,tag7
15,visa,tag8
13,hip,tag4
18,cbt,tag7
14,dgp,tag1
2,dsr,tag3
9,ipx-in-ip,tag8
17,il,tag2
6,kryptolan,tag3
12,iatp,tag2
10,ah,tag10
14,sm (deprecated),tag10
1,ipv6-route,tag5
8,ipv6-nonxt,tag7
13,dgp,tag8
19,ipip,tag1
12,ipcv,tag10
2,wb-mon,tag6
12,mux,tag7
18,3pc,tag4
16,br-sat-mon,tag4
14,nsfnet-igp,tag10
12,chaos,tag6
12,dgp,tag3
14,swipe (deprecated),tag2
11,st,tag4
16,ipv6,tag8
15,hopopt,tag8
0,sscopmce,tag7
9,idpr,tag2
17,idpr,tag5
19,qnx,tag10
2,sun-nd,tag3
18,cftp,tag9
12,mobility header,tag8
4,crudp,tag1
