Port/Protocol	Count
0,sdrp	41
2,vrrp	35
3,fc	46
13,secure-vmtp	26
8,kryptolan	40
4,aris	25
13,wb-mon	37
16,wb-mon	26
19,sprite-rpc	41
19,wb-expak	27
11,secure-vmtp	37
15,mfe-nsp	42
19,fire	39
10,mtp	33
5,dsr	37
11,br-sat-mon	40
2,ipv6	32
17,fc	31
19,xnet	33
13,gre	39
10,tp++	32
3,pvp	36
19,ax.25	39
7,sdrp	30
13,ipv6-route	41
17,ptp	41
19,hip	42
16,merit-inp	23
19,micp (deprecated)	36
13,st	37
7,sat-mon	36
9,mux	35
7,icmp	22
2,rsvp-e2e-ignore	35
19,mpls-in-ip	31
1,mfe-nsp	29
1,fire	25
19,chaos	39
13,xtp	42
19,udp	31
7,visa	35
3,nsfnet-igp	34
6,larp	28
15,ipv6-frag	38
8,netblt	33
2,rvd	35
2,ipv4	28
15,netblt	29
15,rsvp-e2e-ignore	33
16,argus (deprecated)	38
17,argus (deprecated)	37
2,iptm	39
18,nsh	34
3,pup	38
14,esp	39
13,rohc	34
2,ax.25	35
12,scps	48
3,ifmp	35
6,sun-nd	31
2,sm (deprecated)	32
8,fire	29
5,ddx	26
12,esp	29
18,sat-mon	42
12,sprite-rpc	39
4,xns-idp	36
8,bna	36
10,xnet	36
9,ippc	40
11,xtp	48
1,udp	36
4,snp	41
15,sm (deprecated)	35
17,kryptolan	44
10,ipv6-icmp	28
1,sat-mon	45
13,min-ipv4	36
5,hmp	33
15,pipe	28
15,wesp	39
14,rvd	29
10,il	34
18,br-sat-mon	43
15,pup	34
12,fire	32
4,3pc	33
6,dcn-meas	41
8,hopopt	32
15,aggfrag	39
17,bbn-rcc-mon	29
10,rdp	25
6,pnni	34
8,xnet	34
3,il	44
8,snp	42
11,gre	36
4,smp	24
18,min-ipv4	35
4,rohc	40
9,qnx	31
1,ddx	34
10,fire	52
9,shim6	31
13,a/n	43
7,iplt	36
15,pvp	42
1,ddp	34
7,iso-tp4	33
17,hmp	33
2,encap	39
19,dcn-meas	39
17,br-sat-mon	36
13,bbn-rcc-mon	31
14,scps	31
10,egp	30
5,dgp	42
8,srp	38
18,hopopt	33
0,iptm	38
8,isis over ipv4	29
10,nsfnet-igp	43
14,leaf-1	47
14,leaf-2	30
1,hip	31
16,ipip	36
9,iplt	32
15,xns-idp	44
0,ipv6	44
10,etherip	47
0,ipv4	46
8,sps	30
4,wsn	45
19,iatp	35
17,st	50
17,ipcomp	43
17,ipv6-nonxt	35
12,sctp	44
19,skip	34
8,sm (deprecated)	30
17,merit-inp	39
0,sun-nd	29
18,tlsp	32
0,vrrp	31
2,ippc	28
17,xnet	34
17,fire	46
17,dgp	32
0,nsh	30
17,udp	36
11,ipcomp	37
7,merit-inp	32
13,pim	42
14,idpr-cmtp	36
4,idpr	43
4,aggfrag	34
12,eigrp	42
16,nsh	31
2,ethernet	29
12,sat-mon	42
8,stp	33
19,ethernet	35
6,wsn	38
10,iatp	28
19,irtp	23
12,iso-tp4	38
10,br-sat-mon	23
0,rvd	41
9,ipv6-icmp	48
17,irtp	40
12,sscopmce	29
10,fc	46
14,dcn-meas	42
13,tlsp	41
7,ah	35
7,uti	32
0,leaf-1	31
3,fire	48
0,leaf-2	40
16,sdrp	49
11,pgm	35
3,dgp	34
16,icmp	42
16,visa	36
17,hip	32
15,cphb	39
7,ipcomp	48
18,swipe (deprecated)	40
3,eigrp	39
15,prm	30
9,crudp	34
9,ipip	46
19,dccp	31
8,ipv6-icmp	36
16,swipe (deprecated)	31
2,iplt	39
17,ddx	36
17,skip	32
5,mobility header	35
6,mpls-in-ip	36
17,ddp	40
0,ippc	33
7,dsr	40
17,iatp	34
16,ipcv	23
7,ippc	29
18,mobility header	38
1,pup	34
12,mobility header	41
14,sctp	35
15,larp	40
12,hopopt	35
14,nvp-ii	39
1,iso-tp4	38
4,scc-sp	48
8,merit-inp	34
1,pvp	30
15,l2tp	38
10,eigrp	38
6,smp	45
6,snp	48
18,iso-tp4	30
5,gmtp	36
3,argus (deprecated)	41
3,hmp	49
10,ipv6-nonxt	33
15,ptp	38
4,shim6	33
6,3pc	37
11,ax.25	28
11,srp	42
18,ipcv	34
7,cftp	38
0,sprite-rpc	31
14,ifmp	28
9,sdrp	39
16,udplite	36
11,icmp	32
18,argus (deprecated)	32
13,larp	32
7,hmp	38
17,ipv6-opts	39
11,sdrp	28
6,shim6	28
0,encap	37
11,chaos	38
4,tlsp	30
5,pup	33
1,gre	39
19,tp++	31
3,gmtp	31
6,ipx-in-ip	38
11,visa	39
7,ddx	38
2,ipip	42
13,il	38
12,dccp	26
11,ospfigp	30
0,egp	33
9,iso-ip	33
0,kryptolan	34
14,mtp	41
9,icmp	27
1,xtp	33
7,vrrp	27
5,pvp	29
9,visa	30
15,sat-expak	28
6,ipv6-opts	33
7,dcn-meas	32
13,l2tp	50
12,min-ipv4	39
5,swipe (deprecated)	38
15,ipv6-opts	32
2,swipe (deprecated)	42
9,sun-nd	35
15,tp++	44
7,ipv4	38
11,leaf-2	25
11,leaf-1	42
7,dgp	32
7,ipv6	46
14,mux	33
7,fc	36
5,visa	33
7,iptm	29
13,fc	35
11,sps	41
14,sm (deprecated)	44
12,trunk-2	40
7,ospfigp	36
12,trunk-1	35
5,br-sat-mon	34
0,tlsp	38
5,icmp	26
16,chaos	29
16,ax.25	38
8,etherip	28
4,isis over ipv4	35
6,micp (deprecated)	27
17,pgm	41
19,a/n	33
3,leaf-2	30
11,bna	27
3,leaf-1	25
3,st	33
6,aris	30
6,ipv6-route	48
13,sat-expak	28
5,sdrp	49
9,nsfnet-igp	33
11,kryptolan	40
10,ifmp	41
14,ospfigp	31
2,sdrp	38
3,pim	29
14,igp	38
9,ipcv	29
12,gmtp	33
6,idrp	33
9,uti	35
2,visa	35
16,shim6	34
15,ggp	36
15,ipx-in-ip	27
0,mtp	37
2,icmp	34
0,cftp	37
5,hip	45
7,encap	38
18,icmp	42
7,il	39
15,compaq-peer	28
13,compaq-peer	32
6,mobility header	26
13,sprite-rpc	41
0,mobility header	39
15,dccp	31
5,ipip	45
4,compaq-peer	32
16,egp	39
8,wsn	32
18,netblt	36
9,micp (deprecated)	46
18,esp	32
6,rsvp	37
11,iplt	38
2,compaq-peer	40
3,pgm	40
10,qnx	29
6,sat-expak	39
3,ipcomp	36
13,cphb	43
0,ipv6-opts	46
16,etherip	34
19,pim	37
11,stp	38
15,tcp	30
8,smp	41
5,udp	37
10,uti	37
13,sscopmce	32
19,pnni	38
18,ipip	29
5,encap	39
6,idpr	27
15,tcf	41
2,rdp	28
17,xtp	45
11,ipip	37
13,dcn-meas	29
8,3pc	44
16,rdp	45
9,i-nlsp	29
6,wb-mon	40
16,idpr-cmtp	28
9,vmtp	37
10,dsr	23
4,ipx-in-ip	27
0,ipcomp	34
18,visa	42
9,dsr	28
1,pnni	39
17,gre	31
0,mux	36
15,cbt	41
15,irtp	38
5,micp (deprecated)	44
2,kryptolan	34
5,idpr-cmtp	28
18,sdrp	37
4,trunk-2	32
15,scc-sp	34
5,mpls-in-ip	40
4,esp	41
5,ddp	41
4,trunk-1	30
13,udplite	41
2,ipcv	31
4,iso-tp4	32
4,iptm	31
17,a/n	44
7,trunk-2	36
7,trunk-1	46
4,ipv4	38
14,iso-ip	30
4,ipv6	30
3,br-sat-mon	35
16,iso-ip	35
7,pup	32
3,sctp	43
8,ipv6-route	43
9,sscopmce	45
15,wb-expak	39
14,ax.25	35
1,dcn-meas	27
12,aggfrag	37
7,idpr-cmtp	38
3,ipv6-nonxt	36
3,ptp	37
6,cphb	40
8,pnni	43
9,hmp	36
19,bbn-rcc-mon	33
14,chaos	35
6,rvd	32
6,udplite	45
9,narp	28
8,bbn-rcc-mon	36
7,pvp	36
5,chaos	38
11,ippc	39
3,nvp-ii	44
4,vrrp	38
6,idpr-cmtp	31
6,swipe (deprecated)	44
11,mobility header	37
0,ah	36
9,igmp	39
13,etherip	43
4,nsh	31
6,l2tp	32
17,mobility header	51
9,ddx	39
12,br-sat-mon	32
13,pipe	37
15,sat-mon	27
1,tp++	43
5,a/n	36
18,shim6	43
5,crtp	31
0,bbn-rcc-mon	26
13,wesp	19
12,isis over ipv4	29
0,min-ipv4	34
15,pgm	33
19,pup	36
1,pim	41
18,rvd	28
1,nvp-ii	30
11,bbn-rcc-mon	34
19,wb-mon	28
5,igmp	31
3,prm	39
7,tlsp	34
2,vmtp	42
5,narp	40
6,i-nlsp	34
10,scps	35
13,ipx-in-ip	33
7,ethernet	27
11,nvp-ii	30
9,crtp	36
9,dgp	40
6,iso-ip	32
1,ipv6-opts	38
18,xns-idp	40
18,iplt	33
14,i-nlsp	26
12,mpls-in-ip	46
5,ax.25	36
19,pvp	34
1,xns-idp	32
12,igp	40
4,chaos	38
14,fire	26
17,scc-sp	28
0,rohc	25
14,xnet	33
18,ippc	36
15,swipe (deprecated)	38
3,scps	28
4,ospfigp	34
7,hip	25
13,ggp	32
2,crtp	30
14,egp	35
12,ipv6-route	39
0,ipv6-route	29
1,pgm	37
2,igmp	40
2,narp	47
9,sm (deprecated)	31
5,vmtp	39
11,iptm	38
17,ah	31
6,pipe	41
3,a/n	24
6,wesp	28
0,mpls-in-ip	27
1,netblt	37
0,fc	39
9,chaos	38
14,micp (deprecated)	43
5,prm	44
17,pim	31
12,mux	31
0,rdp	35
9,rsvp-e2e-ignore	44
0,sscopmce	32
7,aggfrag	44
7,scc-sp	39
19,swipe (deprecated)	29
11,ipv4	33
19,ptp	39
11,ipv6	33
13,rsvp	30
7,ax.25	31
16,encap	42
9,ax.25	38
4,cftp	24
6,nsh	30
3,rsvp-e2e-ignore	32
2,wb-expak	34
1,ethernet	44
13,tcf	47
15,gre	34
17,ifmp	31
7,udp	31
16,esp	39
4,nsfnet-igp	32
13,tcp	40
13,aris	36
3,isis over ipv4	25
3,sm (deprecated)	34
5,hopopt	37
6,min-ipv4	30
4,rvd	35
16,gmtp	35
9,ospfigp	47
2,esp	42
12,narp	41
4,sat-expak	33
8,tp++	32
15,pnni	41
6,etherip	41
7,chaos	33
7,ddp	33
14,trunk-1	44
13,cbt	28
17,encap	36
12,igmp	40
12,mtp	32
7,st	38
17,sun-nd	26
19,prm	30
15,xtp	31
5,ptp	32
0,argus (deprecated)	35
16,nsfnet-igp	34
14,trunk-2	34
4,argus (deprecated)	33
14,rdp	30
18,sprite-rpc	32
5,ipcv	43
1,dccp	46
18,mux	42
18,il	46
3,sat-expak	37
8,xns-idp	42
1,wesp	28
14,sat-mon	37
0,il	35
13,wsn	30
0,stp	44
4,tp++	32
15,ipv6-nonxt	32
5,ipv6-opts	34
6,pim	27
11,i-nlsp	30
3,ipcv	41
12,vmtp	41
10,aris	30
8,prm	38
17,sctp	40
7,iso-ip	34
17,trunk-2	40
17,trunk-1	36
14,ippc	31
0,idpr-cmtp	29
5,xnet	37
19,i-nlsp	34
2,emcon	30
14,isis over ipv4	39
12,dgp	36
14,uti	36
7,rohc	39
3,etherip	27
3,mux	29
17,chaos	34
14,dsr	32
9,l2tp	36
15,stp	33
13,pnni	38
7,sun-nd	37
6,trunk-1	40
14,st	31
6,trunk-2	43
5,fire	47
0,sctp	53
7,secure-vmtp	34
13,vines	30
6,tlsp	31
1,secure-vmtp	36
10,pvp	43
16,sat-expak	37
0,secure-vmtp	31
13,smp	31
16,ipx-in-ip	27
0,wb-mon	36
18,pipe	41
8,ptp	41
17,ipv6-frag	37
3,mtp	24
18,wesp	36
19,hopopt	35
3,secure-vmtp	26
4,secure-vmtp	39
13,3pc	33
12,cpnx	28
1,eigrp	34
9,cphb	39
17,ax.25	35
9,nsh	40
13,snp	39
7,emcon	42
18,mtp	27
14,aggfrag	35
10,ethernet	28
16,ifmp	34
12,hmp	31
19,sun-nd	31
11,udplite	40
1,pipe	31
5,ipv6-nonxt	29
18,vines	26
15,tlsp	23
16,br-sat-mon	38
14,etherip	32
14,qnx	37
0,sps	36
12,ipcv	34
4,irtp	35
4,ax.25	26
19,tcf	24
4,ah	33
10,ipcomp	39
5,esp	33
19,tcp	38
4,encap	37
11,crudp	35
4,cbt	39
15,bna	30
3,kryptolan	34
10,idrp	36
14,vrrp	33
0,aggfrag	31
17,scps	30
18,l2tp	35
2,iso-tp4	39
7,idrp	31
4,tcp	32
8,pvp	34
16,micp (deprecated)	41
6,leaf-2	36
5,scc-sp	34
0,bna	40
6,leaf-1	33
14,iptm	44
14,ipv4	31
3,crtp	35
9,pipe	28
19,cbt	45
18,ipcomp	24
10,hmp	34
4,skip	31
9,isis over ipv4	40
3,narp	42
4,tcf	29
16,isis over ipv4	30
18,fc	45
15,sps	41
19,iso-tp4	31
10,rsvp	25
7,swipe (deprecated)	39
10,ddp	30
7,rvd	40
18,cphb	32
14,ipv6	33
17,aggfrag	33
10,ddx	40
8,pup	28
0,swipe (deprecated)	34
3,igmp	42
13,nvp-ii	38
6,a/n	40
7,idpr	21
18,igp	34
0,scps	41
1,qnx	38
15,shim6	30
0,srp	40
10,hip	27
10,nvp-ii	30
9,wesp	33
19,ggp	36
0,chaos	31
10,udp	35
4,iso-ip	37
3,vmtp	35
1,l2tp	27
18,larp	33
15,nsfnet-igp	44
9,leaf-1	38
12,icmp	33
4,ggp	38
12,visa	36
9,leaf-2	50
14,argus (deprecated)	46
4,dccp	36
2,gmtp	43
10,ipv6-opts	30
8,iso-tp4	29
15,srp	41
8,scc-sp	39
1,cphb	36
3,igp	39
8,gmtp	34
16,ipv6-icmp	40
12,sdrp	35
10,cphb	31
11,fc	35
11,igmp	31
19,pgm	41
7,aris	34
9,br-sat-mon	36
7,isis over ipv4	30
5,eigrp	39
8,pim	32
6,ospfigp	33
16,mtp	33
0,ax.25	29
19,gmtp	36
5,egp	39
10,dgp	44
14,ipip	35
1,mux	47
17,gmtp	33
1,swipe (deprecated)	36
7,kryptolan	38
13,stp	35
9,ipv6-nonxt	46
10,crudp	40
16,sctp	32
4,pgm	34
12,cphb	34
2,ipv6-route	39
11,vmtp	24
4,fc	41
1,larp	38
5,ethernet	30
1,bbn-rcc-mon	41
10,l2tp	35
12,ipip	43
10,xns-idp	48
1,ospfigp	44
0,eigrp	40
5,dccp	39
0,st	30
14,icmp	41
10,mpls-in-ip	46
11,shim6	31
18,ospfigp	32
14,sdrp	38
9,udplite	32
3,wb-mon	33
14,visa	49
0,gmtp	38
4,idpr-cmtp	29
2,i-nlsp	37
3,rdp	39
3,encap	42
16,mux	41
1,mtp	33
18,ipv6-route	36
18,cpnx	36
6,rohc	35
6,gre	32
7,rsvp	37
9,aris	36
2,min-ipv4	34
6,xtp	34
15,ipv6	39
11,mpls-in-ip	31
5,irtp	44
15,ipv4	35
11,narp	31
18,micp (deprecated)	32
15,iptm	39
10,larp	24
11,crtp	32
19,gre	40
9,ipv6-opts	42
10,pipe	35
4,il	37
12,qnx	36
5,skip	37
10,wesp	29
5,rdp	31
13,bna	44
2,tcf	34
11,snp	32
4,xtp	37
0,ospfigp	44
10,shim6	22
4,gre	35
7,esp	43
1,rsvp-e2e-ignore	45
18,merit-inp	29
17,ospfigp	24
9,rvd	36
14,nsfnet-igp	27
12,iplt	26
9,compaq-peer	39
1,ipcomp	40
6,sat-mon	30
16,scps	22
17,rsvp-e2e-ignore	37
3,dcn-meas	40
5,iatp	39
19,xtp	44
16,igp	24
15,vrrp	24
14,rsvp-e2e-ignore	45
1,cpnx	35
11,ipcv	33
9,rsvp	26
13,sps	33
2,cbt	42
6,eigrp	27
11,smp	32
9,netblt	24
13,ethernet	27
17,ggp	37
18,rdp	38
2,tcp	41
14,iplt	42
1,ipv6-frag	34
13,ipv6-frag	36
15,cftp	34
11,3pc	38
2,ggp	38
14,swipe (deprecated)	30
18,egp	35
17,wb-mon	45
12,dsr	31
4,sprite-rpc	41
16,crudp	49
9,idrp	37
2,hopopt	33
0,trunk-1	40
17,cbt	33
0,trunk-2	29
15,kryptolan	36
1,igp	42
17,tcp	33
11,wsn	40
8,a/n	43
13,srp	35
12,ospfigp	46
17,tcf	30
15,crudp	41
12,uti	38
4,pnni	27
0,dcn-meas	34
6,pgm	31
3,egp	34
8,ethernet	38
2,sctp	34
13,cpnx	38
1,argus (deprecated)	49
19,netblt	38
11,ah	36
2,nsfnet-igp	24
8,ah	38
13,iso-ip	29
12,ippc	37
7,egp	43
14,hip	33
7,cphb	40
2,smp	50
6,ipv6-icmp	32
11,scps	29
9,idpr	32
6,ggp	38
18,dcn-meas	40
3,ipv4	34
5,igp	38
14,sscopmce	40
3,iptm	36
5,ipv6-frag	29
10,pgm	36
18,rohc	32
14,ipv6-route	38
19,sctp	35
14,xns-idp	43
14,udp	49
14,vmtp	33
14,fc	34
2,snp	36
3,dsr	35
13,fire	42
12,idpr-cmtp	31
17,wsn	35
13,nsh	41
4,cpnx	32
2,3pc	30
12,aris	46
18,qnx	38
15,idrp	26
14,igmp	32
7,eigrp	30
3,iso-tp4	40
4,stp	33
12,a/n	31
14,scc-sp	30
19,ipv6-route	31
16,wb-expak	30
19,sat-mon	32
8,gre	30
2,wsn	37
19,leaf-1	38
19,leaf-2	40
8,emcon	33
0,nvp-ii	37
8,ipx-in-ip	43
17,snp	35
3,uti	37
17,vines	36
2,sat-mon	38
8,ifmp	42
10,wb-mon	29
16,irtp	40
3,cftp	38
17,3pc	27
16,ipv6-nonxt	25
17,sm (deprecated)	33
15,leaf-2	41
15,leaf-1	53
2,netblt	40
14,ddx	45
15,rsvp	29
13,mobility header	41
5,udplite	33
3,ipv6	46
6,tcp	42
6,iplt	34
12,vines	32
12,crudp	33
14,ddp	42
17,smp	32
4,nvp-ii	34
3,ipv6-frag	30
18,uti	35
9,rohc	44
16,iatp	36
6,tcf	36
6,cbt	37
4,ipv6-icmp	34
17,iso-ip	36
14,narp	46
18,dsr	39
17,crtp	25
1,emcon	46
8,sscopmce	36
5,scps	39
7,pipe	27
2,scps	34
3,vrrp	42
17,narp	38
14,crtp	31
19,stp	32
7,wesp	31
16,skip	33
16,dccp	27
19,etherip	37
6,ipip	33
11,sctp	33
8,manet	24
12,iptm	42
4,srp	26
14,pup	45
1,trunk-1	35
1,wb-expak	36
12,ipv4	33
1,trunk-2	35
12,ptp	27
12,ipv6	27
7,rdp	47
9,eigrp	23
3,ippc	29
13,rvd	27
14,ah	31
1,dgp	25
6,compaq-peer	36
19,scps	26
12,vrrp	34
19,vines	30
9,mobility header	36
16,hmp	26
1,sm (deprecated)	31
14,ipcv	42
8,xtp	29
8,fc	36
1,rohc	25
14,pvp	47
6,merit-inp	42
5,netblt	40
5,min-ipv4	27
7,larp	36
5,mtp	37
8,swipe (deprecated)	42
18,scc-sp	41
9,esp	31
19,compaq-peer	34
19,srp	27
0,compaq-peer	33
15,aris	26
18,idrp	44
4,st	41
1,ipv6-route	33
1,idpr	24
6,sdrp	50
16,hopopt	34
19,bna	36
8,pgm	31
13,sun-nd	31
2,sscopmce	37
4,sps	35
10,pim	41
13,xnet	42
12,prm	32
1,hmp	35
5,mux	42
16,tp++	31
9,hopopt	30
0,ipv6-icmp	37
19,sps	38
17,sprite-rpc	25
5,sprite-rpc	49
18,trunk-1	34
16,dgp	43
18,trunk-2	31
4,bna	33
7,l2tp	36
10,cpnx	31
5,sctp	47
10,merit-inp	33
2,etherip	42
15,argus (deprecated)	36
11,ipv6-nonxt	32
10,idpr-cmtp	28
18,idpr	35
1,dsr	21
18,ah	39
7,igp	45
6,aggfrag	38
13,swipe (deprecated)	40
10,iso-ip	47
5,qnx	35
15,vines	48
18,isis over ipv4	35
8,il	39
1,idrp	36
16,uti	41
4,merit-inp	50
17,stp	40
15,wsn	47
0,iso-ip	34
6,cftp	38
10,iso-tp4	35
16,dsr	41
1,manet	34
13,irtp	29
7,nvp-ii	36
7,etherip	30
5,emcon	31
9,egp	34
7,bbn-rcc-mon	32
17,ipcv	34
13,trunk-1	33
13,trunk-2	38
0,wsn	41
0,mfe-nsp	33
4,bbn-rcc-mon	33
16,sun-nd	43
8,ggp	26
10,vines	34
0,rsvp-e2e-ignore	40
7,cpnx	32
14,mobility header	36
10,pnni	29
12,udplite	47
6,manet	39
4,ipv6-nonxt	28
0,snp	27
15,3pc	34
13,wb-expak	36
8,tcp	42
12,ipv6-icmp	41
8,tcf	34
19,kryptolan	34
1,aggfrag	34
15,smp	28
0,ipcv	40
7,ipv6-route	35
0,3pc	34
6,iptm	41
17,mfe-nsp	41
2,ifmp	40
10,bbn-rcc-mon	30
16,qnx	32
6,ipv4	52
4,br-sat-mon	37
0,emcon	36
6,ipv6	45
17,isis over ipv4	35
16,rsvp-e2e-ignore	38
0,smp	43
14,merit-inp	38
18,rsvp	35
0,manet	35
2,stp	33
10,a/n	33
1,uti	39
1,rsvp	29
9,ipv6-frag	35
13,iatp	41
12,pvp	35
3,iplt	40
7,manet	43
12,dcn-meas	39
11,rvd	39
19,isis over ipv4	35
13,skip	20
15,snp	41
12,pup	39
11,sprite-rpc	41
8,scps	41
19,ifmp	37
6,vrrp	31
4,pipe	42
18,aggfrag	28
4,wesp	34
9,kryptolan	35
3,sdrp	31
1,aris	48
14,ipv6-icmp	36
19,ipv6-frag	48
12,tlsp	44
14,il	36
10,ptp	27
17,sps	35
6,emcon	41
14,hmp	25
16,fire	32
9,tlsp	28
15,dcn-meas	29
17,igmp	45
1,ah	40
3,emcon	43
12,ddp	42
16,xnet	34
5,ifmp	30
8,nsfnet-igp	36
11,sscopmce	39
13,tp++	33
12,ddx	25
2,srp	20
15,iso-tp4	32
15,rohc	30
0,crtp	38
11,gmtp	33
7,ipv6-frag	41
0,narp	44
2,ipv6-icmp	31
3,compaq-peer	42
7,mtp	27
2,leaf-2	25
12,merit-inp	38
2,leaf-1	30
10,pup	36
19,xns-idp	36
8,cbt	25
16,vines	28
0,udplite	33
3,visa	36
4,larp	29
14,ipcomp	29
3,icmp	41
9,rdp	33
17,bna	34
2,manet	40
17,vmtp	31
2,xns-idp	29
0,igmp	42
17,min-ipv4	24
18,aris	35
1,scc-sp	34
5,manet	39
12,leaf-2	34
11,scc-sp	44
12,leaf-1	32
7,xns-idp	31
3,ipip	36
12,udp	34
13,dccp	32
10,st	37
7,mux	29
10,secure-vmtp	36
4,cphb	32
10,prm	41
11,min-ipv4	48
14,min-ipv4	41
14,dgp	40
2,bna	22
17,srp	27
11,nsh	44
16,mpls-in-ip	34
6,ippc	37
13,aggfrag	34
17,nvp-ii	38
17,udplite	36
2,merit-inp	39
10,wb-expak	42
5,i-nlsp	34
0,sm (deprecated)	30
16,sm (deprecated)	25
14,vines	34
4,l2tp	22
0,vmtp	36
3,qnx	36
2,sps	34
5,mfe-nsp	34
4,mpls-in-ip	31
2,argus (deprecated)	34
3,manet	36
8,sctp	41
12,hip	33
4,emcon	25
15,idpr	43
4,ipcomp	41
2,ospfigp	36
18,ipx-in-ip	37
14,pim	40
16,eigrp	24
17,nsh	25
16,prm	39
11,fire	38
15,iso-ip	36
0,ipv6-nonxt	33
19,fc	43
1,fc	40
11,idpr-cmtp	39
5,rsvp-e2e-ignore	22
4,manet	28
4,sctp	37
5,wsn	35
19,ospfigp	30
11,mux	37
6,crtp	37
6,narp	36
15,st	26
18,ddp	35
15,i-nlsp	40
7,stp	43
13,scps	38
4,dgp	31
9,fire	46
19,tlsp	34
6,igmp	28
11,eigrp	44
5,cphb	45
6,uti	39
18,ddx	41
17,iplt	38
15,isis over ipv4	36
14,secure-vmtp	39
1,iptm	38
18,hip	32
6,dsr	25
16,secure-vmtp	44
2,pup	33
7,ipv6-nonxt	30
18,secure-vmtp	33
16,ptp	34
10,chaos	22
8,st	39
9,xnet	36
10,ippc	34
9,ipx-in-ip	29
0,tp++	37
3,hopopt	35
5,l2tp	46
13,micp (deprecated)	31
4,wb-mon	44
4,ethernet	25
14,br-sat-mon	44
5,smp	40
4,hmp	39
8,ippc	33
11,xnet	24
2,ipcomp	33
14,aris	33
0,shim6	48
10,ax.25	33
1,br-sat-mon	37
9,dcn-meas	37
2,pvp	31
1,il	29
9,ethernet	26
1,rvd	30
4,ddx	27
18,udp	42
15,sun-nd	41
11,mtp	41
13,esp	42
3,rohc	31
0,a/n	33
5,snp	40
18,sat-expak	41
1,cftp	40
10,tcp	47
5,larp	45
17,visa	33
4,ddp	24
17,icmp	45
6,qnx	45
16,a/n	41
8,ospfigp	43
11,rdp	31
15,narp	56
17,sdrp	39
12,xtp	41
10,tcf	36
2,fire	40
5,bna	28
3,ipv6-route	39
18,udplite	32
17,rvd	38
13,ospfigp	30
0,pim	31
4,udplite	35
2,ptp	36
9,ggp	32
12,rohc	41
18,fire	31
2,xnet	31
3,netblt	38
3,nsh	47
15,crtp	38
8,igp	29
1,ipv6	33
1,ipv4	44
4,udp	35
5,ipcomp	32
0,pnni	35
12,gre	41
9,emcon	35
9,mpls-in-ip	36
10,cbt	43
5,sps	34
13,nsfnet-igp	43
14,pgm	38
9,iatp	32
5,ospfigp	32
16,dcn-meas	41
10,iplt	31
18,pup	36
18,xnet	39
16,cpnx	37
9,manet	44
5,ipv6-icmp	40
1,wb-mon	38
19,cftp	36
13,ipv6-nonxt	33
5,crudp	30
10,ggp	29
1,vrrp	36
9,tcp	43
15,igmp	31
7,udplite	44
10,trunk-2	35
6,hopopt	41
9,tcf	45
8,vrrp	35
10,trunk-1	37
8,br-sat-mon	28
17,ipip	33
15,vmtp	37
10,argus (deprecated)	41
14,wesp	33
